No,Komentar,Status
185,diam ambil tendili moneynya biar ngebut bayarnya eh jancuk aplikasi macet-macet sampe crash suwe bat dah,Negativ
186,min flash sale bilangannya gitu mulu cape better benerin servernya kliatan siapnya sendirilah penduduk indonesia juta org kasarnya stgh penduduk indonesia akses tokopedia perhitungan brp data masuk,Negativ
187,mudah han dapet hadiah aamiin,Negativ
188,bener mslhnya berjuang hasil dibilang hoki msalah flashsale jdid jakmall bl shopee belanjaan flash sale pcs jaman tokopedia flashsale sklipun dapet detik kebuka jam pas barangnya habis,Negativ
189,barang ghoibkahkesal,Positiv
190,tinggal pembayaran tinggal ganmasih byk berhasil payment verified engga kalopun berhasil diuji autocancel autorefund ndak thats the flow cb kali amati flownya terapkan komensaya baca komen post sblmnya paham,Negativ
191,kecewa berat,Negativ
192,tetep goib,Negativ
193,kecewaaaaa,Negativ
194,malam keluarin besok pagi,Positiv
195,super parah dibanding pagi jam gimana ni pemberi harapan palsu ajacustomer super kecewaaa,Negativ
196,menit jam lapar menit barangnya belom klik flash salenya berakhirlahhh kocak banget tokopedia,Negativ
197,pinterrr,Positiv
198,kecewa semoga tokopedia berubah nama tokophp,Positiv
199,ni ko bermasalah lihat daftar transaksi isinya kosong beli barang sore cek ko kosong,Positiv
200,min flash sale tokopedia jam malam tanggal agustus berhasil check out memilih pembayaran bca va disitu pemberitahuan kode pembayaran diverifikasi menit kode bayarnya yaterima kasih,Negativ
201,kek yahsudah berhasil prosestinggal bayartp limitnya menitkesal serius nanya,Negativ
202,maaf pengunjung kecewa kunjungan tokopedia dugaan terbaik kami berusaha kualitas pelayanan,Positiv
203,metode pembayaran pakai,Positiv
204,lapak sebelah harga rb flash sale,Positiv
205,dapet tas gagal berkali kali,Positiv
206,boong kali pagi malem susah masuknya pas kebuka barang,Negativ
207,ntaps marketplace orange kyaknya marketplace ijo deh,Negativ
208,guaa jam mantengin hp,Positiv
209,story bro dpt pancake untungan ikutan ratusan ribu orang tebar pesona stok barang terbatas namanya flash,Negativ
210,kirim dm silahkan dicek,Positiv
211,kasih bukti dpet screnshot pembyaran berhasil,Positiv
212,dm silahkan dicek,Negativ
213,flash sale dapet ikutan,Negativ
214,j pro mudah an dicancel,Positiv
215,adain kaya gini orang emosi doangnurunin rating harga tokopedia doang,Positiv
216,percaya,Negativ
217,bokiss flash sale,Positiv
218,toko bayar langsung numpuk saldonya dibatalin mulu berhasil bayar,Negativ
219,setuju,Positiv
220,dm krim post nti iri,Positiv
221,pengguna shopee bl jg promo flash produk harganya tokopedia ngasih harga murah jd peminat shopee bl dibanding tokopedia bl flash sale ngasih produk harga asli produknya rb tokopedia harga produk jutaan jd murah bngt,Positiv
222,ok,Negativ
223,kirain tokopedia belajar pengalaman flash sale mei terulang mendingan kalo blum ngadain flash sale pake flash sale mohon belajar slb sukses ngadain flash sale,Negativ
224,ngejar flash sale tebar pesona dropshiper ambil barang dri seller tokpedakibatnya kerjaan terbengkalai gara order checkout error format tokped dropshiper friendly kalo ngadain flash sale sok nge boom,Positiv
225,down servernya event adain ulang deh diprotes jawabannya suruh coba bebenah,Positiv
226,numpang om top up saldo indomaret,Negativ
227,checkout bener,Positiv
228,bl duitnya bl shake,Positiv
229,bikin story gopro hero brp,Negativ
230,kl adain flash sale serius dongg,Positiv
231,maybelline dapet umpat,Positiv
232,dapet,Negativ
233,harga rbuan,Positiv
234,storyku,Positiv
235,rb gua dapet action cam sma power bank tebar pesona flash sale barangnya diskon gede jd tahan kebutuhan tertawa keras,Positiv
236,dapet juragan rb dapet amazfit bip pagi dapet earphone jbl malem rada aneh dapet helm saldo kepotong tebar pesona gagal checkout dapet selangkah selingkuh transaksi berhasil,Positiv
237,woy,Negativ
238,coba beli apapun kaga error melulu,Negativ
239,eror woy benerin,Positiv
240,wkwkw gua gua doang ngeluh kgak checkout banget yaaa serius sampe kesel pengen banting hape gua jaringan lemot taunya emang susah,Positiv
241,ngincer angin semilir stuck proses bayar,Positiv
242,pagi,Negativ
243,sptnya diuntungkan diisini pedagang tokped yaa tokocash,Negativ
244,juragan diliat bukti kakak lelaki posting ig real berita bohong,Positiv
245,sistemnya overload,Negativ
246,gapernah kebagian astagaaahhh,Negativ
247,flash sale akalan rajin mantengin jam pagi malem sampe nyalain alarm tetep zonk server stock habis coba ku kasar wkwkwkekwk,Negativ
248,teflon frame,Positiv
249,dapet apa,Positiv
250,boicot,Negativ
251,barang,Positiv
252,tokopedia,Positiv
253,nyobain vuma iseng pembayaran mo jam langsung diblng stock habis halaman flashsale masi aneh bin ajaib,Negativ
254,dapet mas barang pagi malamdasar anak,Positiv
255,beneran lihat kepala mata walaubsaya mengakui kalo sedih bete kena marah,Positiv
256,pemberi harapan palsu doang kena tipu kayak keledai,Negativ
257,lihat review orangorang pas beli hp harga flash sale,Positiv
258,koneksi indomie calon anak ayam kornet stabil bagus,Positiv
259,lom beruntung kemarin marah hikz,Positiv
260,norak kali ikutan flash salekesal wkwk,Positiv
261,bukalapak wkwkw tokped ketinggalan ulang ny pelit parah kalah diskonan bukalapak,Negativ
262,nature republic,Negativ
263,dapet namanya jg flash sale bawa santai dapet syukur dapet rejeki namanya harga gilaan wajar byk stand,Positiv
264,dapet nature republic bayar pake cc,Positiv
265,amazing,Positiv
266,beli miband pas mo bayar lamgsung stock habis menjengkelkan pas jam,Negativ
267,amazing,Positiv
268,flassalee,Negativ
269,kecewaaaastok tpi dibayar notif stok kosongperbaiki sistemnya,Negativ
270,pagi berhasil powerbank mili mah thank you pagi experience flash sale drpd semalam well see semoga membatalkan orderan thanks again,Positiv
271,pembodohan umat barang sediain cuman rebutan indonesia,Negativ
272,stock tersedia pas bayar tulisan stock habis kaya lapak sebelah sdh check out barang sdh otomatis bayar ko,Negativ
273,sale kampret,Negativ
274,banget giliran bayar error terusphp,Negativ
275,boongan lgs beli tebar pesona kosong kosong bayar data error server error data not_found cape,Negativ
276,udahhhh dongggkucing kucing,Positiv
277,dpt maen cepetan wkt dl dpt rice cooker kl skrg brg tmn ku dpt blender drone namanya barang diserbu ribuan org cepetan faktor hoki toko sblh jg flash sale dis,Positiv
278,klikpay bca,Positiv
279,bayare pke ecash gimana sihaku bingung kra transfer kya order,Negativ
280,server error trs pdhl klik secepat kilat eh pas klik checkout server error stock kosong,Negativ
281,dapet coba ngaku,Positiv
282,beli xiaomi mukena bali kesalahan jaringan aduuh aneh deh,Negativ
283,hahaha error canggih servernya hahah,Negativ
284,dpet mah error bae serverny,Negativ
285,sabar gt jam barusan dpt pas masuk keranjang server bermasalah gt gt qty pdhl bisanya pas cekout error sekalinya paymentzonkkkstok habis ilang flashsale hahaha fakesale kali yee flashsale,Negativ
286,flash toped bener yakesal kakak lelaki masuk keranjang ribet suru masukin alamatujungnya stok kosong,Negativ
287,dapet hahahahaa,Positiv
288,error lg error lg error lg malam parah drpd kemarin malam klik beli muncul keranjang belanja kosong flow screen jg lari kemana kesalahan server jam lapar lapar tembus tinggal klik bayar lgsg stok habis produk dibilang habis dihapus keranjang belanja jg muncul error main aman goblok really heres my input better do some stress test first before do another flash sale if u are wise youll take this input happy customer will be your repeat customer unhappy customer will be new customer to your competitor,Negativ
289,bnget mbaaa kayak pake hp nyoba eh error perphpan,Negativ
290,terimakasih tokopedia pengalaman mengecewakannya tinggal bayar tebar pesona error trs kali mengatasi error sokan bikin flashsale yatahunbersamakecewabadexperience,Negativ
291,niat flashsale ngadain flashsale kalah lazadashopee prettt,Negativ
292,tipu tipu detik langsung habis,Negativ
293,pake selangkah selingkuh banking,Positiv
294,ka bayarnya,Negativ
295,pakai,Negativ
296,dapet tebar pesona bayarnya pake briva,Positiv
297,berhasil pake briva,Positiv
298,jualan tebar pesona isi ulang tokocash coba gugling deh isi tokocash tokopedia pake,Positiv
299,hmm bagus promo bayar langsung back pacman,Negativ
300,bayar tiba uangnya refund penipuan gimana,Negativ
301,isi klik bca kl jualan jd penjualan uang msk tokocash,Positiv
302,pake kartu kredit ka,Positiv
303,ka bayar pake ka toko caash kah,Positiv
304,bayar pakai toko bayar langsung gimana ka penjelasan,Positiv
305,tokopedia pengalaman mengecewakannya tinggal bayar error kali kalo ngatasin error gausah sok bikin giniantahunbersamamengecewakan,Negativ
306,pemberi harapan palsu,Negativ
307,dapet pagi lumayan,Positiv
308,beneran dpt,Negativ
309,menit min belinyakan rebutan bayarnya mah rebutan,Positiv
310,virtual account bayarnya ambil tendili moneynya ko pembayaran menit ajah buru atmnya,Positiv
311,zonk,Negativ
312,jelasgitu pembayaran loading xpadahal signalnya bagusstock kosong melulupadahal br berjalan menit,Negativ
313,transfer ambil tendili moneynya pengen dpt biar emak seneng,Positiv
314,mayanlah kang sedia payung hujan,Positiv
315,gimn ikiutan tolong bantu jelasin,Negativ
316,ak beli helm berhasil bayar via klik bca nunggu proses seller mudah an dana kembalikan saldo toko bayar langsung,Positiv
317,min server downtolong masak klik produk,Negativ
318,terustahunbersama,Positiv
319,berhasil beli payung harga rebu,Positiv
320,mesti byk belajar collocation server amazon google anak bule tokped semangat,Positiv
321,berdoa weh hoki haha,Negativ
322,bayar lemot pas bayar duitnya tokocash,Negativ
323,bakar,Positiv
324,br buka aplikasi jam teng barang gag stock omong kosong,Positiv
325,dy jg dapet hp rb sampe,Negativ
326,semoga smpe berhasil tangan angin semilir,Positiv
327,susah dapet lucky dibatalin,Positiv
328,skrg sma dpt,Negativ
329,hokian coeg flash sale bayar duit balikin haha like you belanja supermarket bayar struk print barang ambil orang,Positiv
330,flashsale ngelanjutin kemaren yaa engga,Positiv
331,check out tinggal bayar dapet no va tebar pesona pas proses loading lg bayar dana kembalikan check out barangnya keep cm dikasih menit bayar menit loading kiciwa banget deh,Negativ
332,kayanya toko laen flash sale prnh brmslh flash sale brmslh aneh auto uninstal ajh cem ginimah mnding shopee lazada ajh deh,Positiv
333,kali dapet susu enfagrow harga bayar menit lari ambil tendili moneynya,Positiv
334,gagal tinggal bayar tetiba oops stok,Positiv
335,iyaa virtual account,Positiv
336,jam pagi teng kakak lelaki hitungan menit produk kosong,Negativ
337,belum beruntung,Positiv
338,kayaknya emang mayoritas bayar error deh,Positiv
339,ka gigi tajam ngerasain fs tolong jelasin temen tokped fake ngadain flash sale,Positiv
340,ng worth it wasting time ng hadilnya zonk flashsale tong kosong ng barangnya zonk bikin kecewa check out ng eror coba sehabis makan pulang barang hbs pembayaran eror coba sehabis makan pulang berkali barang habis pemberi harapan palsu flash sale zonk palsu bikin kecewa buang cari sensasi doang bikin kecewa customer goodbye deh pindah online,Negativ
341,tokopedia pake jasa aws bos,Negativ
342,zonk mulu,Positiv
343,amazon menginvest tokopedianya alibaba group,Negativ
344,blackmores vitamin ribu,Negativ
345,keranjang belanja msh titik merah terisi barangtp dibuka kosong,Positiv
346,ntar dijadiin iklan ngebully tokopedia pdhal tokopedia kakak lelaki bagus pas kmaren dpt bayar gagal internal server error,Negativ
347,minjgn lupa perbaiki server pelanggan kecewa kabur,Negativ
348,diproses penjual,Negativ
349,gimmick,Negativ
350,error stiap dapet,Negativ
351,tinggal bayar pdahal tebar pesona kgk bsa server error blablabla pas cek flash sale dah ilang bijiii kgk niat ngadain flash sale kya,Positiv
352,parahh,Positiv
353,ngomong bos tokopedia invest server amazon web services server down pengunjung servernya diurusin dapet flash sale nyebar kebohongan kaya gini,Positiv
354,flashsale bohongan niecuma mentok check out,Negativ
355,transaksi flash sale kemarin pembayaran via bca virtual account dana terpotong sistem error belanjaan stuck cart produk habis hilang skrg dana terpotong cart logo notification dibuka cart kosong mohon kebijakan tokopedia bagaimanakesal,Negativ
356,transaksi flash sale kemarin pembayaran via bca virtual account dana terpotong sistem error belanjaan stuck cart produk habis hilang skrg dana terpotong cart logo notification dibuka cart kosong mohon kebijakan tokopedia bagaimanakesal,Positiv
357,min senin gunain voucher ilovemonday cashbacknya masuk skrg min,Negativ
358,gmbarnya kere tulen gift yasin cantik acaramu berkesan kepoin yaa,Negativ
359,hahahahahaha,Negativ
360,subhanallaah sore,Negativ
361,flashsale bikintiap bayar server down trskan aneh,Negativ
362,min tambahin hashtagnyaflashsalephp,Positiv
363,barang masuk keranjang pas bayar maaf stok kosong padahl berpa detik,Negativ
364,fs ngk load pilih barang,Negativ
365,juragan,Negativ
366,habishuft,Negativ
367,awesomee yaa met siang,Negativ
368,mimin servernya benerin min please,Positiv
369,marah,Negativ
370,laporin ylki,Negativ
371,barakallah tokepedia sukses,Positiv
372,deh dm beserta transaksinya penasaran,Positiv
373,sis cpt lgsg kepotong saldonya kalao mah hati stok ksong wkwkkw etss pke tokocash berhasil dipmbyaran gada semenit dikembaliin danaku yaelahh pdoo mawon yakkk,Positiv
374,pembohongan,Negativ
375,awas basic voal bikin ketagihan ready basic voal shinar glamour,Negativ
376,semenit jam tet lgsg belanja berhasil bayar gada semenit lgsg dana dikembalikan pke tokocash bayarxkan boong gamau rugii kayaknya permainan bnyak kunjungi toped hahahha,Positiv
377,wkwkwk percaya flash salekamvret,Positiv
378,jg mentok bayar pdhal rb an gila menitan muter tu gagal server ksel,Positiv
379,pagi dapet tas pas cek taunya dibatalin toped,Positiv
380,barusan cek tas dibatalin topednya,Negativ
381,rejekinya brati tpi kayanya penjualnya ngasih batasan stok deh flash sale pas malem cek olshopnya aplikasi barangnya tersedia,Negativ
382,stok maaf habis dana dikembalikan toko kes dana toko kes pakai haji,Positiv
383,awesomee yaa,Negativ
384,gmbarnya kagum,Positiv
385,pilihan pembayarannyacuma dikasih menit pembayaranga kaya disebelah jam,Positiv
386,met aktivitas pagi yaah,Negativ
387,anjir wkwkwk,Negativ
388,q gakk dpt susah,Positiv
389,payment angin semilir tebar pesona kesalahan terusotw playstore kasih bintang,Negativ
390,toko merah ngadain event kampung sinyalnya sekuat jakarta parah servernya brarti emg persiapkan,Positiv
391,tokopedia kl flash sale barang setoknya banyakin jgn cuman doang nungguin puluhan ribuan org pastiin server lancar nerima pengunjung,Negativ
392,si oren emang bagus barangnya bermutu dapet kadang produk eksklusif sediain oren helm murah sampe boncengan anak lengkappp,Positiv
393,pake kesal kesal,Positiv
394,via transfer ambil tendili moneynya,Positiv
395,ok,Negativ
396,min bayar via tokocash tebar pesona kaga daftar belanja skali tebar pesona tokocash kepotong gmana,Negativ
397,input resi susaaaaahhhh truussss,Negativ
398,benerinnn server dolo njerr,Positiv
399,tahun tukang tipu mulu,Negativ
400,anehflash sale murah bnget bayar langsung back cmn ribu pake point lgiini aneh,Positiv
401,sekian comment respon akun heraann maluin,Positiv
402,eror melanda,Negativ
403,tokocash transfer biasakesal,Positiv
404,tdi pgi syaa beli milo cube sayang kursng berminat kalo pagi enakb bgtu malem rame bener gila,Positiv
405,erorrrrrrr,Positiv
406,menit proses order hahaha bates masuk keranjang server error pembayaran coba lg lain-lain eh kosong stoknya,Positiv
407,pindah shoppe ah enak ciuman upsciuman,Negativ
408,berdosa kasar flash sale pas proses bayar muncul tulisan kesalahan pas klik lg muncul tulisan maaf stok barang kosong,Negativ
409,dapettahunbersama,Positiv
410,xiaomi redmi flash sale pagi proses pengiriman,Positiv
411,kitkat harga ribuan bayar yaaah lumayan,Positiv
412,min kaalau bayar eh pesanan batalkan duit masuk toko bayar langsung jd tunai,Negativ
413,gagal beli uang toko bayar langsung ditarik saldo trs dibalikin bank dasar anak informasi,Negativ
414,kalo niat kasih promo disiapin bener sistemnya,Positiv
415,wkwk incer mahal susah emg tebar pesona temen dapet angin semilir,Negativ
